sslc,hsc,cgpa,school_type,no_of_miniprojects,no_of_projects,coresub_skill,aptitude_skill,problemsolving_skill,programming_skill,abstractthink_skill,design_skill,first_computer,first_program,lab_programs,ds_coding,technology_used,extracurricular,learning_style,college_bench,clg_teachers_know,college_performence ,college_skills,sympos_won_ratio,ROLE
2,3,2,3,1,1,1,1,2,4,2,2,2,3,4,1,1,2,2,4,3,4,5,0.333333333,4
3,1,2,2,2,1,1,3,2,4,3,3,1,3,4,2,2,3,2,5,3,3,4,0.666666667,2
3,4,2,2,1,1,1,2,3,3,2,3,2,2,2,1,1,1,4,3,3,3,4,0.75,6
1,1,1,1,1,1,2,2,3,2,3,2,1,3,4,2,1,1,2,5,3,3,5,0.666666667,5
3,3,2,2,2,1,2,4,3,3,3,3,2,3,4,1,1,1,1,5,4,4,4,0.666666667,7
3,3,2,2,1,1,2,1,2,2,2,2,2,1,4,1,1,3,4,5,4,3,3,1,4
3,2,3,3,1,1,1,2,3,5,2,2,1,3,4,1,1,3,2,5,4,3,3,1,5
4,4,2,2,1,1,2,2,3,3,3,2,2,3,4,2,1,2,3,5,4,4,5,2,3
4,4,2,2,1,1,1,3,3,2,3,2,1,3,4,3,1,3,2,5,4,4,3,1,2
4,4,3,1,1,1,1,4,3,2,2,2,1,3,4,2,1,1,1,3,4,4,4,1.5,4
3,3,3,2,1,1,2,4,2,3,3,4,2,3,4,3,1,2,2,5,4,4,3,0.333333333,7
4,4,2,2,1,1,2,3,3,3,2,2,2,3,4,2,1,1,2,5,2,3,4,0.333333333,2
4,3,1,1,1,1,2,4,3,3,2,4,1,2,4,3,1,2,2,5,4,4,3,0.666666667,2
4,3,3,2,1,1,2,3,3,2,3,3,1,3,4,3,1,2,2,4,4,4,3,0.25,7
2,3,1,2,2,1,2,3,3,4,3,3,2,4,4,4,1,1,1,3,4,3,5,1,5
3,3,2,1,1,1,1,1,2,2,2,2,1,3,4,2,1,4,2,5,4,3,5,0.333333333,4
4,4,4,2,2,1,2,4,3,4,3,3,2,4,4,3,1,3,2,5,4,4,4,0.666666667,5
2,2,2,2,1,1,2,3,4,5,2,2,2,3,4,2,2,3,2,4,3,4,4,0.666666667,4
4,4,3,2,1,1,2,1,3,3,1,1,1,3,4,1,1,3,3,5,3,4,1,0.333333333,0
4,4,4,1,2,2,2,4,3,3,3,2,1,3,4,2,2,1,3,3,4,4,4,0.5,2
4,4,3,2,2,1,1,1,2,3,2,2,1,3,4,1,1,2,3,5,3,3,3,0.666666667,5
3,3,3,1,1,1,1,2,4,2,1,3,2,3,4,1,1,1,2,4,4,3,3,0.666666667,6
3,3,2,1,1,1,2,2,3,3,4,4,1,4,4,2,1,3,2,4,3,3,4,0.75,2
4,4,2,2,2,1,2,4,3,3,2,2,2,4,4,2,1,3,4,2,4,4,5,0.666666667,7
2,4,2,3,2,2,2,2,2,3,2,2,2,4,3,2,1,2,4,4,4,3,3,1,0
4,4,4,3,2,1,1,1,2,3,3,2,2,4,4,2,1,3,1,4,4,3,1,0.333333333,7
3,4,1,2,1,1,2,2,2,2,1,1,2,4,4,2,1,1,1,4,3,3,3,0.25,4
4,4,3,2,2,1,1,4,2,3,4,2,1,3,4,2,2,1,1,4,3,4,3,1,2
4,4,3,3,1,1,1,4,2,3,4,2,2,3,2,2,1,1,4,3,4,4,1,1,5
4,2,2,1,1,1,2,2,3,3,3,3,1,3,4,3,1,1,2,4,4,3,5,1,2
4,4,3,2,1,1,2,2,3,3,2,2,2,3,4,2,1,1,3,4,3,3,1,0.333333333,3
4,4,3,2,2,1,2,1,3,4,3,3,2,3,4,3,1,1,1,4,3,3,4,1,2
4,4,4,2,1,1,2,2,3,5,2,2,1,3,3,2,1,1,2,5,3,4,2,0.666666667,1
4,3,3,3,2,1,2,1,3,3,2,3,2,4,4,2,1,4,4,4,4,4,5,0.25,4
4,4,4,2,2,1,2,4,2,3,4,2,2,3,4,4,1,1,4,4,4,4,3,0.25,2
4,3,2,2,1,1,2,2,2,2,2,1,1,3,4,2,1,2,2,2,3,3,1,2,3
1,1,2,2,2,2,2,1,1,2,2,2,2,1,3,1,1,2,1,3,4,3,5,0.666666667,0
4,3,2,2,2,1,2,1,2,3,2,2,2,4,4,2,1,1,1,4,4,3,4,2,7
3,3,3,2,1,2,1,2,2,2,2,2,2,2,4,2,1,3,2,5,4,4,1,0.5,4
3,3,1,1,1,1,2,1,4,2,1,1,2,1,4,2,1,1,3,4,4,3,1,0.666666667,3
4,3,2,1,2,1,1,1,3,3,2,2,2,1,4,2,1,1,2,5,4,3,3,1,4
2,3,2,3,1,1,2,1,2,3,2,1,2,4,4,1,1,2,3,4,3,3,1,1,1
4,4,2,3,1,1,1,1,2,3,2,2,2,3,2,2,1,1,2,4,3,3,2,1,8
